2014
January,,,
February,,,
March,5.6(1.9),22.9(3.3),192.5
April,3.8(1.1),19.3(3.0),146.9
May,4.7(2.1),16.5(1.7),97.6
June,1.3(2.0),13.2(2.7),90.5
July,3.5(2.5),13.5(2.2),95.6
August,5.3(2.1),15.5(1.8),123.2
September,5.7(2.6),16.1(1.8),154.9
October,5.2(1.4),17.8(2.6),209.6
November,5.6(1.1),19.0(2.2),228.5
December,6.0(0.9),21.2(2.7),276.5
